id,study,subgroup,ni,0,1+,2+,3+
11,"Beynnon et al., 2002",BPTB,22,10,10,2,0
11,"Beynnon et al., 2002",HT,22,3,6,8,5
13,"Björnsson et al., 2016",BPTB,61,30,24,6,1
13,"Björnsson et al., 2016",HT,86,19,46,12,9
23,"Ejerhed et al., 2003",BPTB,32,18,12,2,0
23,"Ejerhed et al., 2003",HT,33,16,17,0,0
26,"Feller & Webster, 2003",BPTB,42,36,6,0,0
26,"Feller & Webster, 2003",HT,47,28,19,0,0
30,"Gifstad et al., 2013",BPTB,45,29,15,1,0
30,"Gifstad et al., 2013",HT,32,19,12,1,0
32,"Guglielmetti et al., 2021",BPTB,31,22,7,1,1
32,"Guglielmetti et al., 2021",HT,31,22,6,2,1
33,"Harilainen et al., 2006",BPTB,37,29,8,0,0
33,"Harilainen et al., 2006",HT,37,31,5,1,0
37,"Ibrahim et al., 2005",BPTB,40,35,5,0,0
37,"Ibrahim et al., 2005",HT,46,39,7,0,0
41,"Jansson et al., 2003",BPTB,43,35,8,0,0
41,"Jansson et al., 2003",HT,46,38,8,0,0
45,"Konrads et al., 2016",BPTB,24,16,8,0,0
45,"Konrads et al., 2016",HT,23,12,9,1,1
51,"Li et al., 2015",HT,32,26,4,2,0
51,"Li et al., 2015",TA,32,19,9,3,1
52,"Lidén et al., 2007",BPTB,30,8,21,1,0
52,"Lidén et al., 2007",HT,32,7,23,1,1
55,"Lui et al., 2012",BPTB,14,10,4,0,0
55,"Lui et al., 2012",HT,38,32,6,0,0
58,"Lund et al., 2014",BPTB,18,14,3,1,0
58,"Lund et al., 2014",QT,21,16,4,1,0
70,"Noh et al., 2011",HT,33,27,5,1,0
70,"Noh et al., 2011",AT,32,26,3,3,0
76,"Pinczewski et al., 2007",BPTB,53,43,10,0,0
76,"Pinczewski et al., 2007",HT,58,46,11,1,0
77,"Popovic et al., 2024",BPTB,38,,,0,0
77,"Popovic et al., 2024",HT,33,,,5,0
82,"Sajovic et al., 2018",BPTB,24,19,5,0,0
82,"Sajovic et al., 2018",HT,24,19,5,0,0
97,"Yadav et al., 2025",HT,36,15,12,8,1
97,"Yadav et al., 2025",QT,33,24,6,3,0
98,"Yoo et al., 2017",HT,68,33,31,3,1
98,"Yoo et al., 2017",TA,64,30,28,4,2
